SafeTCPF Experiment Log Initialized.
[2026-06-25 21:40:35] Scen=FourTeams, Algo=TC-CBS-t, Ped=medium, Succ=1, Nodes=14, Time=0.021s
[2026-06-25 21:40:35] Scen=FourTeams, Algo=TC-CBS-t, Ped=high, Succ=1, Nodes=61, Time=0.067s
[2026-06-25 21:40:35] Scen=FourTeams, Algo=TC-ICBS, Ped=low, Succ=1, Nodes=23, Time=0.061s
[2026-06-25 21:40:35] Scen=FourTeams, Algo=TC-ICBS, Ped=medium, Succ=1, Nodes=13, Time=0.027s
[2026-06-25 21:40:35] Scen=FourTeams, Algo=TC-ICBS, Ped=high, Succ=1, Nodes=16, Time=0.058s
[2026-06-25 21:55:32] Scen=Motorcade, Algo=TC-CBS-t, Ped=low, Succ=1, Nodes=229, Time=0.100s
[2026-06-25 21:55:32] Scen=Motorcade, Algo=TC-CBS-t, Ped=medium, Succ=1, Nodes=108, Time=0.064s
[2026-06-25 21:55:37] Scen=Motorcade, Algo=TC-CBS-t, Ped=high, Succ=0, Nodes=0, Time=5.451s
[2026-06-25 21:55:38] Scen=Motorcade, Algo=TC-ICBS, Ped=low, Succ=1, Nodes=151, Time=0.149s
[2026-06-25 21:55:38] Scen=Motorcade, Algo=TC-ICBS, Ped=medium, Succ=1, Nodes=85, Time=0.110s
[2026-06-25 21:55:41] Scen=Motorcade, Algo=TC-ICBS, Ped=high, Succ=1, Nodes=947, Time=3.492s
[2026-06-25 21:55:41] Scen=FourTeams, Algo=TC-CBS-t, Ped=low, Succ=1, Nodes=21, Time=0.013s
[2026-06-25 21:55:41] Scen=FourTeams, Algo=TC-CBS-t, Ped=medium, Succ=1, Nodes=14, Time=0.013s
[2026-06-25 21:55:41] Scen=FourTeams, Algo=TC-CBS-t, Ped=high, Succ=1, Nodes=61, Time=0.042s
[2026-06-25 21:55:41] Scen=FourTeams, Algo=TC-ICBS, Ped=low, Succ=1, Nodes=23, Time=0.043s
[2026-06-25 21:55:41] Scen=FourTeams, Algo=TC-ICBS, Ped=medium, Succ=1, Nodes=13, Time=0.017s
[2026-06-25 21:55:41] Scen=FourTeams, Algo=TC-ICBS, Ped=high, Succ=1, Nodes=16, Time=0.035s
